Statistic Label,Year,County,UNIT,VALUE
Disposable Income per Person,2021,Co. Meath,Euro,22627.77
Disposable Income per Person,2021,Co. Monaghan,Euro,21516.29
Disposable Income per Person,2021,Co. Offaly,Euro,20805.73
Disposable Income per Person,2021,Co. Roscommon,Euro,20476.58
Disposable Income per Person,2021,Co. Sligo,Euro,21207.14
Disposable Income per Person,2021,Co. Tipperary,Euro,23472.72
Disposable Income per Person,2021,Co. Waterford,Euro,23476.59
Disposable Income per Person,2021,Co. Westmeath,Euro,24130.19
Disposable Income per Person,2021,Co. Wexford,Euro,22527.29
Disposable Income per Person,2021,Co. Wicklow,Euro,24701.71
Index of Disposable Income per Person,2021,Ireland,State=100,100
Index of Disposable Income per Person,2021,Co. Carlow,State=100,100.95
Index of Disposable Income per Person,2021,Co. Cavan,State=100,86.55
Index of Disposable Income per Person,2021,Co. Clare,State=100,89.57
Index of Disposable Income per Person,2021,Co. Cork,State=100,100.92
Index of Disposable Income per Person,2021,Co. Donegal,State=100,78.98
Index of Disposable Income per Person,2021,Co. Dublin,State=100,114.69
Index of Disposable Income per Person,2021,Co. Galway,State=100,96.39
Index of Disposable Income per Person,2021,Co. Kerry,State=100,90
Index of Disposable Income per Person,2021,Co. Kildare,State=100,99.68
Index of Disposable Income per Person,2021,Co. Kilkenny,State=100,80.8
Index of Disposable Income per Person,2021,Co. Laois,State=100,80.65
Index of Disposable Income per Person,2021,Co. Leitrim,State=100,86.84
Index of Disposable Income per Person,2021,Co. Limerick,State=100,103.34
Index of Disposable Income per Person,2021,Co. Longford,State=100,92.48
Index of Disposable Income per Person,2021,Co. Louth,State=100,99.08
Index of Disposable Income per Person,2021,Co. Mayo,State=100,89.63
Index of Disposable Income per Person,2021,Co. Meath,State=100,92.83
Index of Disposable Income per Person,2021,Co. Monaghan,State=100,88.27
Index of Disposable Income per Person,2021,Co. Offaly,State=100,85.35
Index of Disposable Income per Person,2021,Co. Roscommon,State=100,84
Index of Disposable Income per Person,2021,Co. Sligo,State=100,87
Index of Disposable Income per Person,2021,Co. Tipperary,State=100,96.29
Index of Disposable Income per Person,2021,Co. Waterford,State=100,96.31
Index of Disposable Income per Person,2021,Co. Westmeath,State=100,98.99
Index of Disposable Income per Person,2021,Co. Wexford,State=100,92.42
Index of Disposable Income per Person,2021,Co. Wicklow,State=100,101.34
Disposable Income per Person (excluding Rent),2021,Ireland,Euro,21824.39
Disposable Income per Person (excluding Rent),2021,Co. Carlow,Euro,22945.97
Disposable Income per Person (excluding Rent),2021,Co. Cavan,Euro,19891.14
Disposable Income per Person (excluding Rent),2021,Co. Clare,Euro,20588.94
Disposable Income per Person (excluding Rent),2021,Co. Cork,Euro,22284.89
Disposable Income per Person (excluding Rent),2021,Co. Donegal,Euro,18308.87
Disposable Income per Person (excluding Rent),2021,Co. Dublin,Euro,23278.62
Disposable Income per Person (excluding Rent),2021,Co. Galway,Euro,20857.58
Disposable Income per Person (excluding Rent),2021,Co. Kerry,Euro,20624.52
Disposable Income per Person (excluding Rent),2021,Co. Kildare,Euro,22197.56
Disposable Income per Person (excluding Rent),2021,Co. Kilkenny,Euro,18526.41
Disposable Income per Person (excluding Rent),2021,Co. Laois,Euro,18446.87
Disposable Income per Person (excluding Rent),2021,Co. Leitrim,Euro,20077.03
Disposable Income per Person (excluding Rent),2021,Co. Limerick,Euro,23068.16
Disposable Income per Person (excluding Rent),2021,Co. Longford,Euro,21198.46
Disposable Income per Person (excluding Rent),2021,Co. Louth,Euro,22325.48
Disposable Income per Person (excluding Rent),2021,Co. Mayo,Euro,20592.17
Disposable Income per Person (excluding Rent),2021,Co. Meath,Euro,21013.21
Disposable Income per Person (excluding Rent),2021,Co. Monaghan,Euro,20413.44
Disposable Income per Person (excluding Rent),2021,Co. Offaly,Euro,19632.82
Disposable Income per Person (excluding Rent),2021,Co. Roscommon,Euro,19353.28
Disposable Income per Person (excluding Rent),2021,Co. Sligo,Euro,19676.32
Disposable Income per Person (excluding Rent),2021,Co. Tipperary,Euro,22369.49
Disposable Income per Person (excluding Rent),2021,Co. Waterford,Euro,21835.07
Disposable Income per Person (excluding Rent),2021,Co. Westmeath,Euro,22350.44
Disposable Income per Person (excluding Rent),2021,Co. Wexford,Euro,21258.55
Disposable Income per Person (excluding Rent),2021,Co. Wicklow,Euro,22744.96
Index of Disposable Income per Person (excluding Rent),2021,Ireland,State=100,100
Index of Disposable Income per Person (excluding Rent),2021,Co. Carlow,State=100,105.14
Index of Disposable Income per Person (excluding Rent),2021,Co. Cavan,State=100,91.14
Index of Disposable Income per Person (excluding Rent),2021,Co. Clare,State=100,94.34
Index of Disposable Income per Person (excluding Rent),2021,Co. Cork,State=100,102.11
Index of Disposable Income per Person (excluding Rent),2021,Co. Donegal,State=100,83.89
